STATE,YEAR,TOTAL_IPC_CRIMES
ANDHRA PRADESH,2001,4154
ANDHRA PRADESH,2001,4125
ANDHRA PRADESH,2001,5818
ANDHRA PRADESH,2001,3140
ANDHRA PRADESH,2001,6507
ANDHRA PRADESH,2001,287
ANDHRA PRADESH,2001,7848
ANDHRA PRADESH,2001,11831
ANDHRA PRADESH,2001,5811
ANDHRA PRADESH,2001,4582
ANDHRA PRADESH,2001,4779
ANDHRA PRADESH,2001,4581
ANDHRA PRADESH,2001,4819
ANDHRA PRADESH,2001,3532
ANDHRA PRADESH,2001,5002
ANDHRA PRADESH,2001,5245
ANDHRA PRADESH,2001,3621
ANDHRA PRADESH,2001,3678
ANDHRA PRADESH,2001,9867
ANDHRA PRADESH,2001,439
ANDHRA PRADESH,2001,2572
ANDHRA PRADESH,2001,6733
ANDHRA PRADESH,2001,320
ANDHRA PRADESH,2001,3183
ANDHRA PRADESH,2001,3422
ANDHRA PRADESH,2001,2178
ANDHRA PRADESH,2001,6319
ANDHRA PRADESH,2001,5696
ANDHRA PRADESH,2001,130089
ARUNACHAL PRADESH,2001,163
ARUNACHAL PRADESH,2001,139
ARUNACHAL PRADESH,2001,126
ARUNACHAL PRADESH,2001,103
ARUNACHAL PRADESH,2001,190
ARUNACHAL PRADESH,2001,498
ARUNACHAL PRADESH,2001,243
ARUNACHAL PRADESH,2001,56
ARUNACHAL PRADESH,2001,361
ARUNACHAL PRADESH,2001,148
ARUNACHAL PRADESH,2001,140
ARUNACHAL PRADESH,2001,48
ARUNACHAL PRADESH,2001,127
ARUNACHAL PRADESH,2001,2342
ASSAM,2001,1778
ASSAM,2001,810
ASSAM,2001,8
ASSAM,2001,3462
ASSAM,2001,1454
ASSAM,2001,652
ASSAM,2001,1505
ASSAM,2001,1565
ASSAM,2001,343
ASSAM,2001,873
ASSAM,2001,1166
ASSAM,2001,4373
ASSAM,2001,820
ASSAM,2001,1190
ASSAM,2001,2011
ASSAM,2001,721
ASSAM,2001,843
ASSAM,2001,776
ASSAM,2001,1779
ASSAM,2001,731
ASSAM,2001,187
ASSAM,2001,3202
ASSAM,2001,1194
ASSAM,2001,101
ASSAM,2001,1643
ASSAM,2001,2309
ASSAM,2001,1381
ASSAM,2001,36877
BIHAR,2001,2069
BIHAR,2001,591
BIHAR,2001,1690
BIHAR,2001,912
BIHAR,2001,1386
BIHAR,2001,2628
BIHAR,2001,2796
BIHAR,2001,1368
BIHAR,2001,2634
BIHAR,2001,2806
BIHAR,2001,1674
BIHAR,2001,2572
BIHAR,2001,3182
BIHAR,2001,2098
BIHAR,2001,225
BIHAR,2001,1046
BIHAR,2001,1353
BIHAR,2001,1811
BIHAR,2001,417
BIHAR,2001,895
BIHAR,2001,897
BIHAR,2001,754
BIHAR,2001,1062
BIHAR,2001,2897
BIHAR,2001,3881
BIHAR,2001,1758
BIHAR,2001,4212
BIHAR,2001,538
BIHAR,2001,3479
BIHAR,2001,570
BIHAR,2001,1515
BIHAR,2001,8583
BIHAR,2001,1127
BIHAR,2001,2054
BIHAR,2001,2961
BIHAR,2001,1066
BIHAR,2001,2853
BIHAR,2001,3442
BIHAR,2001,804
BIHAR,2001,428
BIHAR,2001,1797
BIHAR,2001,1853
BIHAR,2001,1672
BIHAR,2001,4076
BIHAR,2001,88432
CHHATTISGARH,2001,235
CHHATTISGARH,2001,4353
CHHATTISGARH,2001,86
CHHATTISGARH,2001,739
CHHATTISGARH,2001,996
CHHATTISGARH,2001,6544
CHHATTISGARH,2001,315
CHHATTISGARH,2001,1812
CHHATTISGARH,2001,2059
CHHATTISGARH,2001,719
CHHATTISGARH,2001,760
CHHATTISGARH,2001,685
CHHATTISGARH,2001,2112
CHHATTISGARH,2001,1644
CHHATTISGARH,2001,1185
CHHATTISGARH,2001,1650
CHHATTISGARH,2001,6786
CHHATTISGARH,2001,2650
CHHATTISGARH,2001,3130
CHHATTISGARH,2001,38460
GOA,2001,1271
GOA,2001,1070
GOA,2001,2341
GUJARAT,2001,13496
GUJARAT,2001,2146
GUJARAT,2001,147
GUJARAT,2001,2191
GUJARAT,2001,3879
GUJARAT,2001,3052
GUJARAT,2001,5088
GUJARAT,2001,1717
GUJARAT,2001,3478
GUJARAT,2001,4013
GUJARAT,2001,3857
GUJARAT,2001,5186
GUJARAT,2001,3851
GUJARAT,2001,3355
GUJARAT,2001,5175
GUJARAT,2001,536
GUJARAT,2001,1404
GUJARAT,2001,3887
GUJARAT,2001,2535
GUJARAT,2001,2447
GUJARAT,2001,1215
GUJARAT,2001,4774
GUJARAT,2001,4402
GUJARAT,2001,3995
GUJARAT,2001,1766
GUJARAT,2001,3113
GUJARAT,2001,5047
GUJARAT,2001,3137
GUJARAT,2001,3109
GUJARAT,2001,1421
GUJARAT,2001,103419
HARYANA,2001,2346
HARYANA,2001,1855
HARYANA,2001,5808
HARYANA,2001,1214
HARYANA,2001,615
HARYANA,2001,3502
HARYANA,2001,2830
HARYANA,2001,1501
HARYANA,2001,1452
HARYANA,2001,1195
HARYANA,2001,2383
HARYANA,2001,1753
HARYANA,2001,1169
HARYANA,2001,1054
HARYANA,2001,1895
HARYANA,2001,1214
HARYANA,2001,1856
HARYANA,2001,1768
HARYANA,2001,1944
HARYANA,2001,1405
HARYANA,2001,38759
HIMACHAL PRADESH,2001,1074
HIMACHAL PRADESH,2001,555
HIMACHAL PRADESH,2001,4
HIMACHAL PRADESH,2001,747
HIMACHAL PRADESH,2001,2035
HIMACHAL PRADESH,2001,147
HIMACHAL PRADESH,2001,630
HIMACHAL PRADESH,2001,50
HIMACHAL PRADESH,2001,1747
HIMACHAL PRADESH,2001,1964
HIMACHAL PRADESH,2001,703
HIMACHAL PRADESH,2001,1130
HIMACHAL PRADESH,2001,713
HIMACHAL PRADESH,2001,11499
JAMMU & KASHMIR,2001,1104
JAMMU & KASHMIR,2001,316
JAMMU & KASHMIR,2001,1533
JAMMU & KASHMIR,2001,708
JAMMU & KASHMIR,2001,812
JAMMU & KASHMIR,2001,27
JAMMU & KASHMIR,2001,69
JAMMU & KASHMIR,2001,627
JAMMU & KASHMIR,2001,395
JAMMU & KASHMIR,2001,3607
JAMMU & KASHMIR,2001,82
JAMMU & KASHMIR,2001,817
JAMMU & KASHMIR,2001,635
JAMMU & KASHMIR,2001,1027
JAMMU & KASHMIR,2001,137
JAMMU & KASHMIR,2001,766
JAMMU & KASHMIR,2001,883
JAMMU & KASHMIR,2001,17
JAMMU & KASHMIR,2001,965
JAMMU & KASHMIR,2001,537
JAMMU & KASHMIR,2001,389
JAMMU & KASHMIR,2001,3042
JAMMU & KASHMIR,2001,1010
JAMMU & KASHMIR,2001,19505
JHARKHAND,2001,1936
JHARKHAND,2001,669
JHARKHAND,2001,748
JHARKHAND,2001,1106
JHARKHAND,2001,2916
JHARKHAND,2001,360
JHARKHAND,2001,1016
JHARKHAND,2001,788
JHARKHAND,2001,1918
JHARKHAND,2001,1030
JHARKHAND,2001,658
JHARKHAND,2001,2498
JHARKHAND,2001,2712
JHARKHAND,2001,148
JHARKHAND,2001,473
JHARKHAND,2001,667
JHARKHAND,2001,380
JHARKHAND,2001,311
JHARKHAND,2001,483
JHARKHAND,2001,1461
JHARKHAND,2001,1602
JHARKHAND,2001,628
JHARKHAND,2001,692
JHARKHAND,2001,247
JHARKHAND,2001,25447
KARNATAKA,2001,1710
KARNATAKA,2001,27254
KARNATAKA,2001,5209
KARNATAKA,2001,5053
KARNATAKA,2001,3229
KARNATAKA,2001,4371
KARNATAKA,2001,2941
KARNATAKA,2001,1390
KARNATAKA,2001,2766
KARNATAKA,2001,2691
KARNATAKA,2001,3047
KARNATAKA,2001,3301
KARNATAKA,2001,1902
KARNATAKA,2001,899
KARNATAKA,2001,899
KARNATAKA,2001,4169
KARNATAKA,2001,4039
KARNATAKA,2001,2211
KARNATAKA,2001,906
KARNATAKA,2001,1301
KARNATAKA,2001,3230
KARNATAKA,2001,1406
KARNATAKA,2001,4807
KARNATAKA,2001,1903
KARNATAKA,2001,2900
KARNATAKA,2001,2384
KARNATAKA,2001,583
KARNATAKA,2001,4178
KARNATAKA,2001,4141
KARNATAKA,2001,1959
KARNATAKA,2001,2319
KARNATAKA,2001,109098
KERALA,2001,7319
KERALA,2001,250
KERALA,2001,14843
KERALA,2001,5421
KERALA,2001,5888
KERALA,2001,3116
KERALA,2001,9282
KERALA,2001,7082
KERALA,2001,8394
KERALA,2001,7428
KERALA,2001,6516
KERALA,2001,4100
KERALA,2001,289
KERALA,2001,10465
KERALA,2001,11368
KERALA,2001,2086
KERALA,2001,103847
MADHYA PRADESH,2001,2925
MADHYA PRADESH,2001,2008
MADHYA PRADESH,2001,2637
MADHYA PRADESH,2001,3361
MADHYA PRADESH,2001,13708
MADHYA PRADESH,2001,1036
MADHYA PRADESH,2001,3361
MADHYA PRADESH,2001,3672
MADHYA PRADESH,2001,2879
MADHYA PRADESH,2001,1866
MADHYA PRADESH,2001,5039
MADHYA PRADESH,2001,4910
MADHYA PRADESH,2001,821
MADHYA PRADESH,2001,6001
MADHYA PRADESH,2001,6846
MADHYA PRADESH,2001,746
MADHYA PRADESH,2001,2741
MADHYA PRADESH,2001,13063
MADHYA PRADESH,2001,353
MADHYA PRADESH,2001,8333
MADHYA PRADESH,2001,359
MADHYA PRADESH,2001,3416
MADHYA PRADESH,2001,2285
MADHYA PRADESH,2001,3911
MADHYA PRADESH,2001,3499
MADHYA PRADESH,2001,2122
MADHYA PRADESH,2001,2616
MADHYA PRADESH,2001,5229
MADHYA PRADESH,2001,2311
MADHYA PRADESH,2001,2208
MADHYA PRADESH,2001,1921
MADHYA PRADESH,2001,3009
MADHYA PRADESH,2001,3718
MADHYA PRADESH,2001,3342
MADHYA PRADESH,2001,4603
MADHYA PRADESH,2001,7681
MADHYA PRADESH,2001,4763
MADHYA PRADESH,2001,2143
MADHYA PRADESH,2001,4162
MADHYA PRADESH,2001,3663
MADHYA PRADESH,2001,1053
MADHYA PRADESH,2001,4321
MADHYA PRADESH,2001,3508
MADHYA PRADESH,2001,3389
MADHYA PRADESH,2001,3078
MADHYA PRADESH,2001,7641
MADHYA PRADESH,2001,1849
MADHYA PRADESH,2001,3635
MADHYA PRADESH,2001,181741
MAHARASHTRA,2001,4391
MAHARASHTRA,2001,4020
MAHARASHTRA,2001,2837
MAHARASHTRA,2001,3655
MAHARASHTRA,2001,2351
MAHARASHTRA,2001,2708
MAHARASHTRA,2001,3644
MAHARASHTRA,2001,2252
MAHARASHTRA,2001,3701
MAHARASHTRA,2001,3123
MAHARASHTRA,2001,2040
MAHARASHTRA,2001,1364
MAHARASHTRA,2001,2006
MAHARASHTRA,2001,1841
MAHARASHTRA,2001,4014
MAHARASHTRA,2001,2529
MAHARASHTRA,2001,3162
MAHARASHTRA,2001,3044
MAHARASHTRA,2001,28968
MAHARASHTRA,2001,2023
MAHARASHTRA,2001,9912
MAHARASHTRA,2001,1056
MAHARASHTRA,2001,5680
MAHARASHTRA,2001,5348
MAHARASHTRA,2001,1079
MAHARASHTRA,2001,2195
MAHARASHTRA,2001,4880
MAHARASHTRA,2001,3063
MAHARASHTRA,2001,2702
MAHARASHTRA,2001,2475
MAHARASHTRA,2001,8936
MAHARASHTRA,2001,386
MAHARASHTRA,2001,4380
MAHARASHTRA,2001,2218
MAHARASHTRA,2001,1431
MAHARASHTRA,2001,2999
MAHARASHTRA,2001,3465
MAHARASHTRA,2001,821
MAHARASHTRA,2001,1567
MAHARASHTRA,2001,3145
MAHARASHTRA,2001,6616
MAHARASHTRA,2001,3780
MAHARASHTRA,2001,3443
MAHARASHTRA,2001,1826
MAHARASHTRA,2001,4157
MAHARASHTRA,2001,171233
MANIPUR,2001,226
MANIPUR,2001,74
MANIPUR,2001,132
MANIPUR,2001,337
MANIPUR,2001,1084
MANIPUR,2001,176
MANIPUR,2001,14
MANIPUR,2001,403
MANIPUR,2001,43
MANIPUR,2001,2489
MEGHALAYA,2001,134
MEGHALAYA,2001,49
MEGHALAYA,2001,235
MEGHALAYA,2001,214
MEGHALAYA,2001,754
MEGHALAYA,2001,125
MEGHALAYA,2001,176
MEGHALAYA,2001,1687
MIZORAM,2001,1126
MIZORAM,2001,203
MIZORAM,2001,216
MIZORAM,2001,160
MIZORAM,2001,229
MIZORAM,2001,74
MIZORAM,2001,182
MIZORAM,2001,56
MIZORAM,2001,2246
NAGALAND,2001,464
NAGALAND,2001,18
NAGALAND,2001,335
NAGALAND,2001,93
NAGALAND,2001,57
NAGALAND,2001,28
NAGALAND,2001,51
NAGALAND,2001,41
NAGALAND,2001,93
NAGALAND,2001,54
NAGALAND,2001,1234
ODISHA,2001,1461
ODISHA,2001,2341
ODISHA,2001,1244
ODISHA,2001,1270
ODISHA,2001,1354
ODISHA,2001,1323
ODISHA,2001,415
ODISHA,2001,4258
ODISHA,2001,363
ODISHA,2001,1156
ODISHA,2001,433
ODISHA,2001,1790
ODISHA,2001,1314
ODISHA,2001,1522
ODISHA,2001,750
ODISHA,2001,1269
ODISHA,2001,1000
ODISHA,2001,1057
ODISHA,2001,1922
ODISHA,2001,5076
ODISHA,2001,1563
ODISHA,2001,496
ODISHA,2001,2029
ODISHA,2001,852
ODISHA,2001,687
ODISHA,2001,466
ODISHA,2001,2202
ODISHA,2001,850
ODISHA,2001,1213
ODISHA,2001,2159
ODISHA,2001,444
ODISHA,2001,461
ODISHA,2001,269
ODISHA,2001,1652
ODISHA,2001,46661
PUNJAB,2001,1244
PUNJAB,2001,501
PUNJAB,2001,393
PUNJAB,2001,1080
PUNJAB,2001,463
PUNJAB,2001,671
PUNJAB,2001,1110
PUNJAB,2001,482
PUNJAB,2001,580
PUNJAB,2001,1237
PUNJAB,2001,633
PUNJAB,2001,2461
PUNJAB,2001,755
PUNJAB,2001,486
PUNJAB,2001,3785
PUNJAB,2001,500
PUNJAB,2001,425
PUNJAB,2001,754
PUNJAB,2001,432
PUNJAB,2001,612
PUNJAB,2001,5973
PUNJAB,2001,1278
PUNJAB,2001,1285
PUNJAB,2001,634
PUNJAB,2001,27774
RAJASTHAN,2001,6618
RAJASTHAN,2001,7023
RAJASTHAN,2001,3508
RAJASTHAN,2001,4333
RAJASTHAN,2001,2369
RAJASTHAN,2001,7291
RAJASTHAN,2001,6335
RAJASTHAN,2001,3952
RAJASTHAN,2001,4078
RAJASTHAN,2001,7062
RAJASTHAN,2001,2880
RAJASTHAN,2001,3546
RAJASTHAN,2001,3096
RAJASTHAN,2001,1997
RAJASTHAN,2001,962
RAJASTHAN,2001,5610
RAJASTHAN,2001,3956
RAJASTHAN,2001,20604
RAJASTHAN,2001,1020
RAJASTHAN,2001,2507
RAJASTHAN,2001,3533
RAJASTHAN,2001,4102
RAJASTHAN,2001,6535
RAJASTHAN,2001,2908
RAJASTHAN,2001,7383
RAJASTHAN,2001,4575
RAJASTHAN,2001,4640
RAJASTHAN,2001,2872
RAJASTHAN,2001,3094
RAJASTHAN,2001,4333
RAJASTHAN,2001,2185
RAJASTHAN,2001,3913
RAJASTHAN,2001,6365
RAJASTHAN,2001,155185
SIKKIM,2001,279
SIKKIM,2001,36
SIKKIM,2001,79
SIKKIM,2001,50
SIKKIM,2001,444
TAMIL NADU,2001,1754
TAMIL NADU,2001,7035
TAMIL NADU,2001,7292
TAMIL NADU,2001,493
TAMIL NADU,2001,9115
TAMIL NADU,2001,3490
TAMIL NADU,2001,8018
TAMIL NADU,2001,5123
TAMIL NADU,2001,4657
TAMIL NADU,2001,6631
TAMIL NADU,2001,5840
TAMIL NADU,2001,3732
TAMIL NADU,2001,2245
TAMIL NADU,2001,4877
TAMIL NADU,2001,4161
TAMIL NADU,2001,3724
TAMIL NADU,2001,2659
TAMIL NADU,2001,1330
TAMIL NADU,2001,1100
TAMIL NADU,2001,3416
TAMIL NADU,2001,3234
TAMIL NADU,2001,4225
TAMIL NADU,2001,1846
TAMIL NADU,2001,3030
TAMIL NADU,2001,3506
TAMIL NADU,2001,2646
TAMIL NADU,2001,6350
TAMIL NADU,2001,1569
TAMIL NADU,2001,3468
TAMIL NADU,2001,4749
TAMIL NADU,2001,3043
TAMIL NADU,2001,5290
TAMIL NADU,2001,206
TAMIL NADU,2001,3104
TAMIL NADU,2001,2279
TAMIL NADU,2001,7941
TAMIL NADU,2001,7120
TAMIL NADU,2001,4503
TAMIL NADU,2001,154801
TRIPURA,2001,205
TRIPURA,2001,566
TRIPURA,2001,586
TRIPURA,2001,1444
TRIPURA,2001,2801
UTTAR PRADESH,2001,6662
UTTAR PRADESH,2001,4688
UTTAR PRADESH,2001,6096
UTTAR PRADESH,2001,1379
UTTAR PRADESH,2001,1137
UTTAR PRADESH,2001,2247
UTTAR PRADESH,2001,3064
UTTAR PRADESH,2001,1355
UTTAR PRADESH,2001,1316
UTTAR PRADESH,2001,1934
UTTAR PRADESH,2001,734
UTTAR PRADESH,2001,1722
UTTAR PRADESH,2001,2578
UTTAR PRADESH,2001,5269
UTTAR PRADESH,2001,1753
UTTAR PRADESH,2001,2487
