STATE,TOT_P,P_LIT,P_ILL,TOT_CRIMES,LIT_RT,CRIME_RT,AREA_SQ_KM
A & N ISLANDS,380581,294281,86300,18204,77.32,4783.21,8249
ANDHRA PRADESH,84580777,50556760,34024017,4037962,59.77,4774.09,162970
ARUNACHAL PRADESH,1383727,766005,617722,55304,55.36,3996.74,83743
ASSAM,31205576,19177977,12027599,1195528,61.46,3831.14,78438
BIHAR,104099452,52504553,51594899,2692586,50.44,2586.55,94163
CHANDIGARH,1055450,805438,250012,81614,76.31,7732.63,114
CHHATTISGARH,25545198,15379922,10165276,1122054,60.21,4392.43,135192
D & N HAVELI,343709,223230,120479,9302,64.95,2706.36,491
DAMAN & DIU,243247,188406,54841,5896,77.45,2423.87,112
GOA,1458545,1165487,293058,64102,79.91,4394.93,3702
GUJARAT,60439692,41093358,19346334,2771550,67.99,4585.65,196244
HARYANA,25351462,16598988,8752474,1190606,65.48,4696.40,44212
HIMACHAL PRADESH,6864602,5039736,1824866,309896,73.42,4514.41,55673
JAMMU & KASHMIR,12541302,7067233,5474069,518310,56.35,4132.82,55538
JHARKHAND,32988134,18328069,14660065,844702,55.56,2560.62,79716
KARNATAKA,61095297,40647322,20447975,2962126,66.53,4848.37,191791
KERALA,33406061,28135824,5270237,2874918,84.22,8605.98,38852
LADAKH,0,0,0,0,0.00,0.00,166698
LAKSHADWEEP,64473,52553,11920,1486,81.51,2304.84,32
MADHYA PRADESH,72626809,42851169,29775640,4827540,59.00,6647.05,308252
MAHARASHTRA,112374333,81554290,30820043,4546872,72.57,4046.18,307713
MANIPUR,2855794,1908476,947318,70144,66.83,2456.20,22327
MEGHALAYA,2966889,1785005,1181884,50498,60.16,1702.05,22429
MIZORAM,1097206,848175,249031,52292,77.30,4765.92,21081
NAGALAND,1978502,1342434,636068,26266,67.85,1327.57,16579
NCT OF DELHI,16787941,12737767,4050174,1266348,75.87,7543.20,1483
ODISHA,41974218,26742595,15231623,1295892,63.71,3087.35,155707
PUDUCHERRY,1247953,957309,290644,108232,76.71,8672.76,490
PUNJAB,27743338,18707137,9036201,768262,67.43,2769.18,50362
RAJASTHAN,68548437,38275282,30273155,3711832,55.84,5414.90,342239
SIKKIM,610577,444952,165625,14000,72.87,2292.91,7096
TAMIL NADU,72147030,51837507,20309523,4120352,71.85,5711.05,130058
TELANGANA,0,0,0,0,0.00,0.00,112077
TRIPURA,3673917,2804783,869134,105468,76.34,2870.72,10486
UTTAR PRADESH,199812341,114397555,85414786,3716148,57.25,1859.82,240928
UTTARAKHAND,10086292,6880953,3205339,206408,68.22,2046.42,53483
WEST BENGAL,91276115,61538281,29737834,2238608,67.42,2452.57,88752
,,,,,,,
